milservice,msndate,valid_aircraft_root,missionid,tgttype,resultsbda,VALIDATED_ROOT,AIRCRAFT_APPLICATION
USAF,1972-07-23,F-4,7157,TRAIN CAR ANY,DAMAGED,F-4,"FIGHTER, BOMBER"
RAAF,1970-05-16,B-57,5012,FOX HOLES,DESTROYED,B-57,"TACTICAL, BOMBER"
VNAF,1971-01-21,A-37,E666,CAVES,DESTROYED,A-37,ATTACK
USN,1972-06-25,A-7,3205,BOATS\BARGES,DAMAGED,A-7,ATTACK
USN,1971-02-10,A-4,1833,BULLDOZER,DAMAGED,A-4,FIGHTER
USAF,1973-04-10,A-7,6344,FOX HOLES,DESTROYED,A-7,ATTACK
VNAF,1970-06-16,A-1,D532,FOX HOLES,DESTROYED,A-1,FIGHTER
USAF,1970-07-12,F-4,4510,TRENCH,DESTROYED,F-4,"FIGHTER, BOMBER"
USAF,1973-05-04,F-4,6900,WATERCRAFT,DESTROYED,F-4,"FIGHTER, BOMBER"
VNAF,1972-12-29,A-37,E404,CAVES,DESTROYED,A-37,ATTACK
USAF,1973-03-23,F-4,6942,BRIDGE\ANY,DESTROYED,F-4,"FIGHTER, BOMBER"
USAF,1972-03-29,A-37,6511,MORTAR SITE,DESTROYED,A-37,ATTACK
RLAF,1971-07-09,T-28,1390,SUPPLIES\RICE\WEAPONS,DAMAGED,T-28,TRAIN
